EmployeeID~JobTitle~Section~Manager ID
00401793~Brick Layer~SMP2 Refractory~00400940
00401806~Day Shift Senior RM Fluid Technician~RM1,2,3 & 5 / RM5 Mechanical~00000000
00401830~Brick Layer~SMP2 Refractory~00400940
00401851~Ladle Repairman~SMP2 Refractory~00400940
00401861~Brick Layer~SMP2 Refractory~00400940
00401892~Brick Layer~SMP2 Refractory~00400940
00401908~Brick Layer~SMP2 Refractory~00400940
00401965~Ladle Repairman~SMP2 Refractory~00400940
00402183~Ladle Repairman~SMP2 Refractory~00400940
00402895~Roll Shop Assistant~RM1,2,3 & 5 / Roll Shop~004025
00403028~MH Maintenance Technician - 1~MH Maintenance~00401555
