GivenName,LastName,Username,password,Email,Address,Phone Number,Region,TargetOU
Albany Care 7 Day ,Medical Centre,AlbanyCare,.randomise,admin@albanycare.com.au,"Shop 1 / 720 Albany Creek Road, ALBANY CREEK",07 3264 6632,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Albany,Clinic,albany,.randomise,reception@albanyclinic.com.au,"698 Albany Creek Road, ALBANY CREEK,",07 3264 2622,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Albany Hills Radius,Medical Centre,AlbanyHillsRadius,.randomise,practicemanager@albanyhills.com.au,"Cnr Keong and Old Northern Roads, ALBANY CREEK",07 3264 0800,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Albert Street CBD ,Medical Centre,AlbertStCBDMC,.randomise,conradxiao@hotmail.com ,"Level 3, 138 Albert Street, BRISBANE",07 3210 1889,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ascot,Family Practice,AscotFP,.randomise,admin@ascotfamilypractice.com.au,"153A Racecourse Road, ASCOT",07 3268 2318,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ashgrove,Clinic,AshgroveClinic,.randomise,manager@ashgroveclinic.com.au,"258 Waterworks Road, ASHGROVE",07 3366 1349,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ashgrove ,Family Practice,AshgroveFP,.randomise,anne@ashgrovefamilypractice.com.au.,"Level 1 High Point Plaza, 240 Waterworks Road",07 3366 4663,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ashgrove West Group ,Practice,AshgroveWest,.randomise,Practicemanager@ashgrovewestgp.com.au,"461 Waterworks Road, ASHGROVE",07 3366 3544,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Australian Doctors ,Clinic,AustralianDoctorsClinic,.randomise,manager@audoc.com.au,"Kenmore Village, Shop 3, 9 Brookfield Road, KENMORE",07 3085 8111,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Australian Doctors ,Clinic - Kallangur,AusDocsClinicKallangur,.randomise, admin@audoc.com.au,"Shop 13 Kallangur Fair Shopping Centre, 1473 Anzac Ave, KALLANGUR",07 3317 4040,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Banyo ,Clinic,BanyoClinic,.randomise,jodie@banyoclinic.com.au,"183 Tufnell Road, BANYO",07 3267 5088,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bardon ,Family Doctors,BardonFD,.randomise,bardondoctors@gmail.com,"Shops 3&4, 50 Macgregor Terrace, BARDON",07 3708 2456,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Beach ,Medical Clinic,BeachMC,.randomise,beachmedical@commander.net.au,"135 Margate Parade, MARGATE",07 3284 9777,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bellara ,Family Medical Practice,BellaraFMP,.randomise,JRaj@bfmp.net.au,"35 Benabrow Avenue, BELLARA",07 3408 9077,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bellbowrie ,Medical Centre,BellbowrieMC,.randomise,bellmedcen@outlook.com,"8 Birkin Road, BELLBOWRIE",07 3202 6623,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Berkeley,Medical,BerkeleyMed,.randomise,admin@berkeleymedical.com.au,"Shop 21 Kenmore Plaza, 841 Moggill Road, KENMORE",07 3193 3393,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Best Health ,Medical Centre,BestHealthMC,.randomise,marie@besthealthmc.com ,"9/618 Deception Bay Road, DECEPTION BAY",07 3204 9770,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Best Life ,Medical Centre,BetterLifeMC,.randomise,marie@besthealthmc.com,"1-3 College Street, NORTH LAKES",07 3482 4677,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bracken Ridge ,Family Practice,BrackenRidgeFP,.randomise,shabnam@anchormedical.com.au,"Shop 1/81 Gawain Road, BRACKEN RIDGE",07 3261 8804,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bray Park ,Medical Practice,BrayParkMC,.randomise,practicemanager@feelingwell.com.au,"17 Sparkes Road, BRAY PARK",07 3205 4088,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brendale,Medical Centre,BrendaleMC,.randomise,"reception@brenmed.com.au  
brm@brenmed.com.au","Shop 103, Strathpine Centre, 295 Gympie Road,  STRATHPINE",07 3881 1222,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brewer Street ,Medical Centre,BrewerStreetMC,.randomise,admin@brewerstreetmedical.com.au,"Shop 1, 1450 Anzac Avenue, KALLANGUR",07 3448 0438,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Bridgeman,Family Practice,BridgemanFP,.randomise,manager@bridgemanfamilypractice.com.au,"Shop 6 Metro on Beckett, 5 Canopus Street, BRIDGEMAN DOWNS",07 3166 9653,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brighton ,Medical Centre,BrightonVMC,.randomise,admin@brightonmedicalcentre.com.au,"6/353 Beaconsfield Terrace, BRIGHTON",07 3631 6000,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brisbane ,GP and Travel Doctor ,BrisbaneGPandTravelDoctor,.randomise,admin@brisbanegp.com.au,"Suite 4, Centenary Pool Complex, 400 Gregory Terrace, SPRING HILL",07 3236 9599,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brisbane,Youth Service,BrisYouthServ,.randomise,psmith@brisyouth.org,"42 McLachlan Street, FORTITUDE VALLEY",07 3620 2400,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Brookside,Family Clinic,BrooksideFC,.randomise,practice.manager@brooksidefamilyclinic.com.au,"Brookside Shopping Centre, 159 Osborne Road, MITCHELTON",07 3354 1900,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Burpengary Station ,Medical Centre,BurpStationMC,.randomise,shruti@theinfinitygroup.net.au ,"179 Station Road, BURPENGARY",07 3888 9676,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Caboolture Indigenous and Community ,Medical Centre,CabooltureCommunityMC,.randomise,admin@cicmedical.com.au,"Suite 13-17, The Lakes Centre, 8-22 King Street, CABOOLTURE",07 5490 8100,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Caboolture,Super Clinic,CabooltureSuperClinic,.randomise,leeannedixon@schealthcare.com.au,"23-27 George Street, CABOOLTURE",07 5315 8888,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Chermside ,Medical Centre,ChermsideMC,.randomise,margaret.graham@fullertonhealth.com.au,"Suite 2, 956 Gympie Road, CHERMSIDE",07 3917 4200,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Clayfield,Medical Centre,ClayfieldMC,.randomise,clayfieldmightytext@gmail.com,"533 Sandgate Road, CLAYFIELD",07 3262 1288,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Clinic,30,Clinic30,.randomise,catkinson@quac.org.au,"30 Helen Street, TENERIFFE",07 3017 1777,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Clontarf,Clinic,ClontarfC,.randomise,sr_vivienne_robson@clontarfclinic.com.au,"11 Maine Road at Crn Cornelius Street, CLONTARF",07 3283 8144,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Dayboro ,Medical Centre,DayboroMC,.randomise,admin@dayboromedical.com.au,"7 McKenzie Street, DAYBORO",07 3425 1427,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Doctors at,Dolphins,DoctorsAtDolphins,.randomise,alfredngini@gmail.com,"Shop 6, Dolphin Central Shopping Centre, REDCLIFFE",07 3053 3117,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Doctors at,Teneriffe,DocsAtTeneriffe,.randomise,manager@doctorsteneriffe.com.au,"29 Florence Street, TENERIFFE",07 3257 0841,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Doctors at ,Eatons Hill ,DoctorsAtEatonsHill,.randomise,lee.langley@imsg.net.au  ,"Shop 2, 1 Queen Elizabeth Drive, EATONS HILL",07 3325 5999,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Doctors on ,Brunswick,DoctorsonBrunswick,.randomise,manager@doctorsonbrunswick.com.au ,"Central Brunswick Centre, Unit 16/421 Brunswick Street, FORTITUDE VALLEY",07 3252 7614,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Dr Gerbers ,Surgery,DrGerber,.randomise,drgerber@bigpond.com,"Shop 12, 75 Morayfield Road, Cnr Jacaranda Avenue, CABOOLTURE",07 5495 3792,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Dr M K I ,Khan,DrKhan,.randomise,admin@strathpinemedical.com.au,"2/497 Gympie Road, STRATHPINE",07 3205 4300,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
East Street ,Family Doctor,EastStreetFD,.randomise,WillowvaleESFD@gmail.com,"5 East Street, CABOOLTURE",07 5499 3333,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Eaton Central 7 Day ,Family Practice,EatonCentralFP,.randomise,nargis@anchormedical.com.au ,"Shop 8 Eatons Central, 6-12 Bunya Park Drive, EATONS HILL",07 3264 3900,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Eaton Quality Medical and ,Skin Cancer Centre,EatonsQualityMedicalandSkinCancerCentre,.randomise,pmh380@yahoo.com,"Shop 6 Eaton Village Shopping Centre, 640 South Pine Road, BRENDALE",07 3118 5651,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Eatons Hill ,Medical Centre,EatonsHillMC,.randomise,treatmentroom@eatonshillmedical.com.au,"2 Marylin Terrace, EATONS HILL",07 3325 5559,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Elysian,Medical Centre,ElysiumMC,.randomise,admin@elysianmedicalcentre.com.au,"Shop 3, 45 Benabrow Avenue, BELLARA",07 3410 7425,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Everton Hills ,Medical Centre,EvertonHillsMC,.randomise,info@ehmc.com.au,"Shop 5/83 Camelia Avenue, EVERTON HILLS",07 3355 7343,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Everyday,Medical,EverydayMed,.randomise,manager@everydaymedical.com.au,"Suite 12, Albany Place, 640 Albany Creek Road, ALBANY CREEK",07 3325 5611,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Family,Doctors Plus,FamilyDoctorsPlus,.randomise,pmf@familydoctorsplus.com.au,"Unit 2 and 3, 178 Albion Road, WINDSOR",07 3357 8192,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Family Practice ,at the Gap,FamilyPracGap,.randomise,Familypractice.thegap@australiandoctors.com.au,"Shop 32/1000 Waterworks Road, THE GAP",07 3300 0888,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Fernlands Radius ,Medical Centre,FernlandsRadiusMC,.randomise,sudha@frmc.com.au,"Fernlands Shopping Centre, 10 Woodhill Road, FERNY HILLS",07 3350 5000,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ferny Fair ,Medical Centre,FernyFairMC,.randomise,hillssurgery@gmail.com,"170 Patrick's Road, FERNY HILLS",07 3351 4455,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Ferny Grove ,Family Practice,FernyGroveFP,.randomise,rsmedical3@yahoo.com,"Coles Shopping Centre, 51 McGinn Road, FERNY GROVE",07 3351 8593,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Fiveways ,Surgery,FivewaysSurgery,.randomise,nurse@fiveways.online,"Level 1, 144 Indooroopilly Road, TARINGA",07 3870 2525,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Geebung ,Clinic,GeebungClinic,.randomise,admin@geebungclinic.com.au,"328 Newman Road, GEEBUNG",07 3265 6922,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Go2 ,Health,Go2Health,.randomise,jenny.strike@go2health.com.au    ,"468 South Pine Road, EVERTON PARK",07 3355 5540,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Goodwin Drive ,Family Medical Centre,GoodwinDrFMC,.randomise,manager@goodwindrivemedical.com.au,"Shop 1/232-235 Goodwin Drive, BONGAREE",07 3410 1122,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
GPs at,Brighton,GPsAtBrighton,.randomise,drcarpenter@brightongps.com.au,"6/159 Nathan Street, BRIGHTON",07 3555 9790,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Griffin ,Medical Centre,GriffinMC,.randomise,admin@griffinmedicalcentre.com.au,"228 Brays Road, GRIFFIN",07 3465 0660,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Gympie Road ,Medical Centre,GympieRoadMC,.randomise,manager@gympieroadmedicalcentre.com.au,"1/640 Gympie Road, LAWNTON",07 3338 8828,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Healthy Women ,Medical Centre ,HealthyWomenMC,.randomise,office@healthywomen.com.au,"Suite 1F, 80 Stamford Road, INDOOROOPILLY",07 3720 2622,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Hypermarket ,Medical Centre,HypermarketMC,.randomise,practicemanager@hypermarketmedical.com.au,"Aspley Hypermarket, Shop 2/59 Albany Creek Raod, ASPLEY",07 3263 3007,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Indooroopilly ,Family Practice,IndooroopillyFP,.randomise,admin@indooroopillyfp.com.au,"Shop 1059, Indooroopilly Shopping Centre, 318 Moggill Road, INDOOROOPILLY",07 3378 1600,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Indooroopilly ,General Practice,indooroopillydayandnightMC,.randomise,tabitha.maclachlan@fullertonhealth.com.au,"5/66 Station Road, INDOOROOPILLY",07 3878 3733,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Junction Road ,Family Practice,JunctionRFP,.randomise,junctionroad@tpg.com.au,"Bonney Place, 318 Junction Road, CLAYFIELD",07 3857 2799,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kallangur,Family Practice ,KallangurFMP,.randomise,shabnam@anchormedical.com.au,"Lilly Brook Shopping Centre, Shop 8-9, 118 Old Gympie Road, KALLANGUR",07 3886 0588,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kedron Wavell ,Medical Centre,KedronWavellMC,.randomise,admin@kedronwavellmedicalcentre.com.au ,"232 Gympie Road, KEDRON",07 3359 2160,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kenmore,Clinics,KenmoreClinics,.randomise,admin@kenmoreclinics.com.au,"Suite 2, 3 & 6, 2081 Moggill Road, KENMORE",07 3363 1600,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kenmore ,Family Medical Practice,KenmoreFMP,.randomise,kenmorereception@bigpond.com,"Suite 1, 2081 Moggill Road, KENMORE",07 3378 2988,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Keperra ,Family Practice,KeperraFP,.randomise,manager@keperrafamilypractice.com.au ,"577 Settlement Road, KEPERRA",07 3351 0323,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
