Section,Department
CEO Office,CEO Office
Chief Operating Office (COO),Chief Operating Office (COO)
Controlling Group,"Controlling, Business Planning & ERP"
"Controlling, Business Planning & ERP","Controlling, Business Planning & ERP"
Cranes - Mechanical,Cranes
Cranes - Electrical,Cranes
Condition Monitoring,Cranes & Engineering Services
Maint. Planning,Cranes & Engineering Services
Engineering Design,Cranes & Engineering Services
Credit and Collection,Credit and Collection
Direct Reduction Plant 1,Direct Reduction Plant 1&2
Direct Reduction Plant  2,Direct Reduction Plant 1&2
DRP1&2 Material Handling,Direct Reduction Plant 1&2
EISC Cranes & Engineering,EISC-Cranes & Engineering Services
EISC - Direct Reduction Plant,EISC-Direct Reduction Plant 3
DRP  Electrical & Automation,EISC-Electrical & Automation Maintenance
SMP Electrical & Automation,EISC-Electrical & Automation Maintenance
EISC-Finance,EISC-Finance & Costing
EISC-Health & Safety,EISC-Health & Safety
EISC-Information Technology,EISC-Information Technology
DRP Maintenance,EISC-Mechanical Maintenance & Workshop
MH & Crane Maintenance,EISC-Mechanical Maintenance & Workshop
Workshop Maintenance,EISC-Mechanical Maintenance & Workshop
SMP Maintenance,EISC-Mechanical Maintenance & Workshop
Fluids & Hydraulics,EISC-Mechanical Maintenance & Workshop
EISC-Rolling Mills,EISC-Rolling Mill 5
EAF/LF - CCM,EISC-Steel Making Plant 3
Refractory & Material Handling,EISC-Steel Making Plant 3
EISC-Steel Making Plant 1,EISC-Steel Making Plant 3
EISC-Procurement & Logistics,EISC-Supply Chain Management
Chemical Laboratory,EISC-Technical Services
Inspection and Testing,EISC-Technical Services
EISC-Utility & Water Treatment Plant,EISC-Utility & Water Plant
OP / E&AM / SMP 1,Electrical & Automation Maintenance
Central Electrical Services & Workshop,Electrical & Automation Maintenance
Main Sub Station,Electrical & Automation Maintenance
SMP 1 Elect. & Autom.,Electrical & Automation Maintenance
OP / E&AM / SMP 2,Electrical & Automation Maintenance
DRP 1 Elect. & Autom.,Electrical & Automation Maintenance
OP / E&AM / DRP 1,Electrical & Automation Maintenance
OP / E&AM / DRP 2,Electrical & Automation Maintenance
SMP 2  Electrical & Automation,Electrical & Automation Maintenance
OP / E&AM / CES & Workshop,Electrical & Automation Maintenance
OP / E&AM / Main Sub Station,Electrical & Automation Maintenance
DRP 2  Electrical & Automation,Electrical & Automation Maintenance
RM 4 Electrical & Automation,Electrical & Automation Maintenance
