Description,Title,Department,Manager
400110,Finishing Assistant,Rolling Mill (1),400248
400117,Mill Assistant,Rolling Mill (1),400219
400119,Day Shift Mech. Maint. Technician,HSM Maintenance - Mechanical Maintenance,0
400121,RM 1 Shift Senior Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400123,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400827
400131,Mill Crane Operator,HSM Operation - Production,402069
400135,Senior Officer - Public Relations,Public Relations,400240
400136,Shift Supervisor,Rolling Mill (1),402577
400141, Head of RM5 Electrical,"RM1,2,3 & 5 / RM5 Electrical",400485
400143,Furnace Operator,Rolling Mills (3),400586
400145,Senior Roller,Rolling Mills (3),401124
400146,Bundling Operator,Rolling Mill (1),400219
400147,Bundling Operator,Rolling Mill (1),400320
400148,Sr. Engineer Chemical Lab Ph 1 & 2,Chemical Laboratories,401568
400149,Sr . Engineer Inspection & Testing - Ph2,Inspection and Testing RM 4&5,402646
400150,Roll Shop (2) Supervisor,Rolling Mills - Roll Shop,400961
400155,RM 1 Shift E&A Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400159,Office Boy,Housing & GS,400334
400161,Public Relation Officer,Public Relations,400135
400164,Main Pulpit Operator,Rolling Mill (1),400248
400165,Day Shift RM  Electrical. Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400171,Senior Accountant,Finance & Costing,400370
400172,Senior Shift Operator RO2 Plant FW NG,Utility Operation 2,400635
400176,Cold Shear Operator,Rolling Mill (1),400219
400177,Cold Shear Operator,Rolling Mill (1),400248
400178,Finishing Process Engineer,HSM Operation - Finishing Process,402713
400181,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400182,PR Assistant,Public Relations,400135
400186,RM 1 Shift E&A Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400187,Day Shift RM  Instrumentation Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400188,Bundling Operator,Rolling Mill (1),400136
400189,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400192,Crane Operator,SMP2 CCM,401450
400193,Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400194,RM1 Shift Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400195,Crane Operator,SMP1 CCM (Continues Casting Machine),401015
400197,Day Shift RM Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400200,Senior Category Buyer - Spares/Cons.,Materials & Spares/Cons.,402385
400203,RM 1 Shift Senior Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400208,RM 1 Shift E&A Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400211,RM 1 Shift Senior Elect. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400213,Shift Supervisor,Rolling Mills (2),402577
400215,Senior Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400216,RM 1 Shift Senior Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400218,Shift Supervisor,HSM Operation - Production,402713
400219,Shift Supervisor,Rolling Mill (1),402577
400220,Senior Roller,Rolling Mills (2),400213
